,,Title,,Year,Rating,,,Available On,,
43,,Rogue One: A Star Wars Story,,2016,13+,7.8/10,82/100,+Rent or Buy,,Want To SeeSeen
44,,Bright,,2017,18+,6.3/10,80/100,,,Want To SeeSeen
45,,Land,,2021,13+,6.6/10,63/100,Rent or Buy,,Want To SeeSeen
46,,Big Time Adolescence,,2020,18+,7.0/10,81/100,,,Want To SeeSeen
47,,Rampage,,2018,13+,6.1/10,72/100,+Rent or Buy,,Want To SeeSeen
48,,The Personal History of David Copperfield,,2019,7+,6.4/10,70/100,+Rent or Buy,,Want To SeeSeen
49,,Death of Me,,2020,18+,4.4/10,57/100,+Rent or Buy,,Want To SeeSeen
0,,Murder Mystery,,2019,13+,6.0/10,73/100,,,Want To SeeSeen
1,,Ant-Man,,2015,13+,7.3/10,80/100,+Rent or Buy,,Want To SeeSeen
2,,The Virtuoso,,2021,18+,4.9/10,58/100,Rent or Buy,,Want To SeeSeen
3,,Isle of Dogs,,2018,13+,7.9/10,77/100,+Rent or Buy,,Want To SeeSeen
4,,Jungle,,2017,18+,6.7/10,71/100,+Rent or Buy,,Want To SeeSeen
5,,The Nice Guys,,2016,18+,7.4/10,78/100,+Rent or Buy,,Want To SeeSeen
6,,Possessor Uncut,,2020,18+,6.5/10,68/100,+Rent or Buy,,Want To SeeSeen
7,,Burning,,2018,N/A,7.5/10,74/100,+Rent or Buy,,Want To SeeSeen
8,,Men in Black: International,,2019,13+,5.6/10,69/100,+Rent or Buy,,Want To SeeSeen
9,,Cars 3,,2017,all,6.7/10,71/100,+Rent or Buy,,Want To SeeSeen
10,,La La Land,,2016,13+,8.0/10,80/100,+Rent or Buy,,Want To SeeSeen
11,,Lady Bird,,2017,18+,7.4/10,78/100,+Rent or Buy,,Want To SeeSeen
12,,Miss Peregrine's Home for Peculiar Children,,2016,13+,6.7/10,74/100,+Rent or Buy,,Want To SeeSeen
13,,Bird Box,,2018,18+,6.6/10,83/100,,,Want To SeeSeen
14,,The Hunger Games: Mockingjay - Part 1,,2014,13+,6.6/10,75/100,+Rent or Buy,,Want To SeeSeen
15,,Moxie,,2021,13+,6.7/10,67/100,,,Want To SeeSeen
16,,Maleficent: Mistress of Evil,,2019,7+,6.6/10,72/100,+Rent or Buy,,Want To SeeSeen
17,,Spectre,,2015,13+,6.8/10,75/100,+Rent or Buy,,Want To SeeSeen
18,,Leave No Trace,,2018,7+,7.2/10,73/100,+Rent or Buy,,Want To SeeSeen
19,,Doctor Sleep,,2019,18+,7.3/10,74/100,+Rent or Buy,,Want To SeeSeen
20,,The Circle,,2017,13+,5.3/10,68/100,+Rent or Buy,,Want To SeeSeen
21,,Us,,2019,18+,6.8/10,74/100,Rent or Buy,,Want To SeeSeen
22,,Edge of Tomorrow,,2014,13+,7.9/10,82/100,+Rent or Buy,,Want To SeeSeen
23,,Les Misérables,,2019,18+,7.6/10,70/100,,,Want To SeeSeen
24,,The Kissing Booth,,2018,16+,6.0/10,70/100,,,Want To SeeSeen
25,,Moana,,2016,7+,7.6/10,80/100,+Rent or Buy,,Want To SeeSeen
26,,The Big Sick,,2017,18+,7.5/10,76/100,+Rent or Buy,,Want To SeeSeen
27,,The Informer,,2019,18+,6.6/10,69/100,+Rent or Buy,,Want To SeeSeen
28,,Iron Man 3,,2013,13+,7.1/10,79/100,+Rent or Buy,,Want To SeeSeen
29,,The Blackout,,2019,18+,6.1/10,62/100,+Rent or Buy,,Want To SeeSeen
30,,Barb and Star Go to Vista Del Mar,,2021,13+,6.4/10,67/100,Rent or Buy,,Want To SeeSeen
31,,The Predator,,2018,18+,5.3/10,66/100,Rent or Buy,,Want To SeeSeen
32,,Why Did You Kill Me?,,2021,18+,5.6/10,60/100,,,Want To SeeSeen
33,,Captain America: The Winter Soldier,,2014,13+,7.7/10,82/100,+Rent or Buy,,Want To SeeSeen
34,,Annihilation,,2018,18+,6.8/10,74/100,Rent or Buy,,Want To SeeSeen
35,,Hustlers,,2019,18+,6.3/10,70/100,+Rent or Buy,,Want To SeeSeen
36,,Jurassic World,,2015,13+,7.0/10,76/100,Rent or Buy,,Want To SeeSeen
37,,Tell Me Who I Am,,2019,18+,7.6/10,85/100,,,Want To SeeSeen
38,,Trolls World Tour,,2020,7+,6.1/10,66/100,+Rent or Buy,,Want To SeeSeen
39,,Article 15,,2019,18+,8.2/10,88/100,,,Want To SeeSeen
40,,The Killing of a Sacred Deer,,2017,18+,7.0/10,73/100,+Rent or Buy,,Want To SeeSeen
41,,Mortal Kombat Legends: Scorpion's Revenge,,2020,18+,7.5/10,71/100,+Rent or Buy,,Want To SeeSeen
42,,"Love, Simon",,2018,13+,7.6/10,76/100,+Rent or Buy,,Want To SeeSeen
43,,Crimson Peak,,2015,18+,6.5/10,73/100,+Rent or Buy,,Want To SeeSeen
44,,The Dark Knight Rises,,2012,13+,8.4/10,86/100,+Rent or Buy,,Want To SeeSeen
45,,The Night Comes for Us,,2018,18+,7.0/10,83/100,,,Want To SeeSeen
46,,Togo,,2019,7+,8.0/10,74/100,,,Want To SeeSeen
47,,Nobody Sleeps in the Woods Tonight,,2020,18+,4.8/10,58/100,,,Want To SeeSeen
48,,To All the Boys: Always and Forever,,2021,N/A,6.3/10,64/100,,,Want To SeeSeen
49,,The Hobbit: The Desolation of Smaug,,2013,13+,7.8/10,81/100,+Rent or Buy,,Want To SeeSeen
0,,Ex Machina,,2015,18+,7.7/10,79/100,+Rent or Buy,,Want To SeeSeen
1,,Thunder Road,,2018,18+,7.1/10,86/100,+Rent or Buy,,Want To SeeSeen
2,,Insurgent,,2015,13+,6.2/10,72/100,+Rent or Buy,,Want To SeeSeen
3,,Transformers: The Last Knight,,2017,13+,5.2/10,67/100,+Rent or Buy,,Want To SeeSeen
4,,Beauty and the Beast,,2017,7+,7.1/10,76/100,+Rent or Buy,,Want To SeeSeen
5,,Crazy About Her,,2021,18+,6.6/10,59/100,,,Want To SeeSeen
6,,Star Trek Beyond,,2016,13+,7.0/10,77/100,+Rent or Buy,,Want To SeeSeen
7,,Thelma,,2017,N/A,7.0/10,70/100,+Rent or Buy,,Want To SeeSeen
8,,Manchester by the Sea,,2016,18+,7.8/10,78/100,+Rent or Buy,,Want To SeeSeen
9,,Escape Room,,2019,13+,6.4/10,69/100,+Rent or Buy,,Want To SeeSeen
10,,The One and Only Ivan,,2020,7+,6.6/10,67/100,,,Want To SeeSeen
11,,Annabelle: Creation,,2017,18+,6.5/10,72/100,+Rent or Buy,,Want To SeeSeen
12,,Creed,,2015,13+,7.6/10,77/100,+Rent or Buy,,Want To SeeSeen
13,,Now You See Me 2,,2016,13+,6.5/10,73/100,+Rent or Buy,,Want To SeeSeen
14,,Supernova,,2021,18+,6.7/10,64/100,+Rent or Buy,,Want To SeeSeen
15,,The Invisible Man,,2020,18+,7.1/10,76/100,+Rent or Buy,,Want To SeeSeen
16,,The Owners,,2020,N/A,4.9/10,58/100,+Rent or Buy,,Want To SeeSeen
17,,Django Unchained,,2012,18+,8.4/10,84/100,+Rent or Buy,,Want To SeeSeen
18,,The Maze Runner,,2014,13+,6.8/10,75/100,Rent or Buy,,Want To SeeSeen
19,,Passengers,,2016,13+,7.0/10,76/100,+Rent or Buy,,Want To SeeSeen
20,,Moonlight,,2016,18+,7.4/10,77/100,+Rent or Buy,,Want To SeeSeen
21,,The United States vs. Billie Holiday,,2021,18+,6.3/10,66/100,,,Want To SeeSeen
22,,King Arthur: Legend of the Sword,,2017,13+,6.7/10,75/100,+Rent or Buy,,Want To SeeSeen
23,,Never Rarely Sometimes Always,,2020,13+,7.4/10,70/100,+Rent or Buy,,Want To SeeSeen
24,,Veronica,,2017,18+,6.2/10,79/100,,,Want To SeeSeen
25,,Stree,,2018,7+,7.6/10,83/100,+Rent or Buy,,Want To SeeSeen
26,,13th,,2016,18+,8.2/10,91/100,,,Want To SeeSeen
27,,The Mountain Between Us,,2017,13+,6.4/10,69/100,+Rent or Buy,,Want To SeeSeen
28,,Bill & Ted Face the Music,,2020,7+,6.0/10,67/100,+Rent or Buy,,Want To SeeSeen
29,,How to Train Your Dragon 2,,2014,7+,7.8/10,78/100,+Rent or Buy,,Want To SeeSeen
30,,The Nun,,2018,18+,5.3/10,67/100,+Rent or Buy,,Want To SeeSeen
31,,The Farewell,,2019,7+,7.6/10,73/100,+Rent or Buy,,Want To SeeSeen
32,,Anon,,2018,18+,6.1/10,69/100,,,Want To SeeSeen
33,,I'm Thinking of Ending Things,,2020,18+,6.6/10,70/100,,,Want To SeeSeen
34,,Breaking News in Yuba County,,2021,18+,5.7/10,57/100,Rent or Buy,,Want To SeeSeen
35,,Mile 22,,2018,18+,6.1/10,71/100,+Rent or Buy,,Want To SeeSeen
36,,The Wrong Missy,,2020,18+,5.7/10,69/100,,,Want To SeeSeen
37,,Weathering with You,,2019,13+,7.5/10,71/100,+Rent or Buy,,Want To SeeSeen
38,,Georgetown,,2021,18+,5.9/10,56/100,+Rent or Buy,,Want To SeeSeen
39,,12 Years a Slave,,2013,18+,8.1/10,82/100,+Rent or Buy,,Want To SeeSeen
40,,The Handmaiden,,2016,N/A,8.1/10,78/100,+Rent or Buy,,Want To SeeSeen
41,,Ludo,,2020,13+,7.6/10,71/100,,,Want To SeeSeen
42,,A Simple Favor,,2018,18+,6.8/10,71/100,Rent or Buy,,Want To SeeSeen
43,,Revenge,,2017,18+,6.4/10,69/100,+Rent or Buy,,Want To SeeSeen
44,,Wonder,,2017,7+,8.0/10,76/100,+Rent or Buy,,Want To SeeSeen
45,,Phantom Thread,,2017,18+,7.5/10,74/100,+Rent or Buy,,Want To SeeSeen
46,,Spontaneous,,2020,18+,6.5/10,66/100,+Rent or Buy,,Want To SeeSeen
47,,The Babysitter: Killer Queen,,2020,N/A,5.8/10,70/100,,,Want To SeeSeen
48,,Ready or Not,,2019,18+,6.8/10,73/100,+Rent or Buy,,Want To SeeSeen
49,,Gully Boy,,2019,N/A,8.0/10,87/100,,,Want To SeeSeen
0,,Happiest Season,,2020,13+,6.6/10,81/100,,,Want To SeeSeen
1,,Frozen,,2013,7+,7.4/10,79/100,+Rent or Buy,,Want To SeeSeen
2,,The Empty Man,,2020,18+,6.1/10,63/100,Rent or Buy,,Want To SeeSeen
3,,The Founder,,2017,13+,7.2/10,75/100,+Rent or Buy,,Want To SeeSeen
4,,Fifty Shades of Grey,,2015,18+,4.1/10,64/100,+Rent or Buy,,Want To SeeSeen
5,,Ted,,2012,18+,6.9/10,77/100,+Rent or Buy,,Want To SeeSeen
6,,Halloween,,2018,18+,6.5/10,69/100,+Rent or Buy,,Want To SeeSeen
7,,Mirage,,2018,18+,7.4/10,71/100,,,Want To SeeSeen
8,,Get the Grift,,2021,N/A,5.5/10,53/100,,,Want To SeeSeen
9,,The Djinn,,2021,18+,4.7/10,53/100,Rent or Buy,,Want To SeeSeen
10,,Snowpiercer,,2013,18+,7.1/10,77/100,+Rent or Buy,,Want To SeeSeen
11,,About Time,,2013,13+,7.8/10,80/100,+Rent or Buy,,Want To SeeSeen
12,,Alien: Covenant,,2017,18+,6.4/10,73/100,+Rent or Buy,,Want To SeeSeen
13,,The Call of the Wild,,2020,7+,6.8/10,71/100,+Rent or Buy,,Want To SeeSeen
14,,Project Power,,2020,18+,6.0/10,67/100,,,Want To SeeSeen
15,,Searching,,2018,13+,7.6/10,74/100,+Rent or Buy,,Want To SeeSeen
16,,Suspiria,,2018,18+,6.7/10,69/100,+Rent or Buy,,Want To SeeSeen
17,,Charm City Kings,,2020,18+,6.6/10,63/100,,,Want To SeeSeen
18,,The Craft: Legacy,,2020,13+,4.4/10,58/100,+Rent or Buy,,Want To SeeSeen
19,,The Life Ahead,,2020,13+,6.8/10,81/100,,,Want To SeeSeen
20,,Seaspiracy,,2021,18+,8.2/10,66/100,,,Want To SeeSeen
21,,Beautiful Boy,,2018,18+,7.3/10,83/100,,,Want To SeeSeen
22,,Geostorm,,2017,13+,5.3/10,68/100,+Rent or Buy,,Want To SeeSeen
23,,Her,,2013,18+,8.0/10,81/100,+Rent or Buy,,Want To SeeSeen
24,,Tomb Raider,,2018,13+,6.3/10,70/100,+Rent or Buy,,Want To SeeSeen
25,,"Three Billboards Outside Ebbing, Missouri",,2017,18+,8.1/10,80/100,+Rent or Buy,,Want To SeeSeen
26,,War Dogs,,2016,18+,7.1/10,75/100,+Rent or Buy,,Want To SeeSeen
27,,The Lodge,,2020,18+,6.1/10,66/100,+Rent or Buy,,Want To SeeSeen
28,,Good Time,,2017,18+,7.4/10,74/100,+Rent or Buy,,Want To SeeSeen
29,,Thor: The Dark World,,2013,13+,6.9/10,77/100,+Rent or Buy,,Want To SeeSeen
30,,Spiral,,2019,18+,5.5/10,59/100,+Rent or Buy,,Want To SeeSeen
31,,Captain Fantastic,,2016,18+,7.9/10,78/100,+Rent or Buy,,Want To SeeSeen
32,,10 Cloverfield Lane,,2016,13+,7.2/10,76/100,+Rent or Buy,,Want To SeeSeen
33,,Honey Boy,,2019,18+,7.3/10,86/100,,,Want To SeeSeen
34,,Hell or High Water,,2016,18+,7.6/10,77/100,+Rent or Buy,,Want To SeeSeen
35,,Fighting With My Family,,2019,13+,7.1/10,72/100,+Rent or Buy,,Want To SeeSeen
36,,Disobedience,,2017,18+,6.6/10,67/100,+Rent or Buy,,Want To SeeSeen
37,,Your Name.,,2016,7+,8.4/10,79/100,Rent or Buy,,Want To SeeSeen
38,,300: Rise of an Empire,,2014,18+,6.2/10,72/100,+Rent or Buy,,Want To SeeSeen
39,,X-Men: Apocalypse,,2016,13+,6.9/10,77/100,+Rent or Buy,,Want To SeeSeen
40,,Cargo,,2017,N/A,6.3/10,80/100,,,Want To SeeSeen
41,,The Theory of Everything,,2014,13+,7.7/10,79/100,+Rent or Buy,,Want To SeeSeen
42,,Violet Evergarden: The Movie,,2020,13+,8.4/10,63/100,Rent or Buy,,Want To SeeSeen
43,,Get Out,,2017,18+,7.7/10,80/100,Rent or Buy,,Want To SeeSeen
44,,A Silent Voice: The Movie,,2016,13+,8.2/10,75/100,+Rent or Buy,,Want To SeeSeen
45,,X-Men: Days of Future Past,,2014,13+,7.9/10,81/100,+Rent or Buy,,Want To SeeSeen
46,,Man of Steel,,2013,13+,7.0/10,78/100,+Rent or Buy,,Want To SeeSeen
47,,Ride or Die,,2021,18+,5.5/10,56/100,,,Want To SeeSeen
48,,The Judge,,2014,18+,7.4/10,75/100,+Rent or Buy,,Want To SeeSeen
49,,The Jungle Book,,2016,7+,7.4/10,76/100,+Rent or Buy,,Want To SeeSeen
0,,The Cloverfield Paradox,,2018,13+,5.5/10,67/100,,,Want To SeeSeen
1,,The Zookeeper's Wife,,2017,13+,7.0/10,71/100,+Rent or Buy,,Want To SeeSeen
2,,World War Z,,2013,13+,7.0/10,76/100,Rent or Buy,,Want To SeeSeen
3,,The Age of Adaline,,2015,13+,7.2/10,76/100,+Rent or Buy,,Want To SeeSeen
4,,The Girl on the Train,,2016,18+,6.5/10,71/100,+Rent or Buy,,Want To SeeSeen
5,,The Aeronauts,,2019,13+,6.6/10,69/100,,,Want To SeeSeen
6,,Buddy Games,,2019,18+,4.9/10,58/100,+Rent or Buy,,Want To SeeSeen
7,,The Secret Life of Walter Mitty,,2013,7+,7.3/10,76/100,+Rent or Buy,,Want To SeeSeen
8,,Child's Play,,2019,18+,5.8/10,65/100,+Rent or Buy,,Want To SeeSeen
9,,Mudbound,,2017,18+,7.4/10,87/100,,,Want To SeeSeen
10,,100% Wolf,,2020,7+,5.7/10,59/100,+Rent or Buy,,Want To SeeSeen
11,,Life of Pi,,2012,7+,7.9/10,80/100,+Rent or Buy,,Want To SeeSeen
12,,Kiss the Ground,,2020,18+,8.3/10,84/100,,,Want To SeeSeen
13,,The Courier,,2019,18+,4.9/10,61/100,+Rent or Buy,,Want To SeeSeen
14,,The Hunger Games,,2012,13+,7.2/10,80/100,+Rent or Buy,,Want To SeeSeen
15,,Line of Duty,,2019,18+,5.3/10,61/100,+Rent or Buy,,Want To SeeSeen
16,,Secret Society of Second Born Royals,,2020,7+,4.8/10,59/100,,,Want To SeeSeen
17,,Ghost in the Shell,,2017,13+,6.3/10,72/100,Rent or Buy,,Want To SeeSeen
18,,12 Hour Shift,,2020,N/A,5.4/10,58/100,+Rent or Buy,,Want To SeeSeen
19,,The Last: Naruto the Movie,,2014,13+,7.6/10,70/100,+Rent or Buy,,Want To SeeSeen
20,,A Beautiful Day in the Neighborhood,,2019,7+,7.3/10,72/100,+Rent or Buy,,Want To SeeSeen
21,,The Hustle,,2019,13+,5.4/10,65/100,+Rent or Buy,,Want To SeeSeen
22,,The Beguiled,,2017,18+,6.3/10,67/100,+Rent or Buy,,Want To SeeSeen
23,,Vice,,2018,18+,7.2/10,73/100,+Rent or Buy,,Want To SeeSeen
24,,Hotel Mumbai,,2019,18+,7.6/10,74/100,+Rent or Buy,,Want To SeeSeen
25,,Butchers,,2021,N/A,5.1/10,55/100,+Rent or Buy,,Want To SeeSeen
26,,Just Say Yes,,2021,N/A,4.5/10,53/100,,,Want To SeeSeen
27,,The Hunt,,2012,18+,8.3/10,80/100,+Rent or Buy,,Want To SeeSeen
28,,Sully,,2016,13+,7.4/10,76/100,+Rent or Buy,,Want To SeeSeen
29,,The Guernsey Literary & Potato Peel Pie Society,,2018,16+,7.4/10,83/100,,,Want To SeeSeen
