,,Title,,Year,Rating,,,Available On,,
48,,Jigsaw,,2017,18+,5.8/10,69/100,+ Rent or Buy,,Want To SeeSeen
49,,Seaspiracy,,2021,18+,8.2/10,67/100,,,Want To SeeSeen
0,,I See You,,2019,18+,6.8/10,72/100,+ Rent or Buy,,Want To SeeSeen
1,,Wolfwalkers,,2020,7+,8.1/10,75/100,,,Want To SeeSeen
2,,Ralph Breaks the Internet,,2018,7+,7.0/10,75/100,+ Rent or Buy,,Want To SeeSeen
3,,The Night Comes for Us,,2018,18+,7.0/10,84/100,,,Want To SeeSeen
4,,The Equalizer 2,,2018,18+,6.7/10,73/100,+ Rent or Buy,,Want To SeeSeen
5,,Her,,2013,18+,8.0/10,82/100,+ Rent or Buy,,Want To SeeSeen
6,,Portrait of a Lady on Fire,,2019,18+,8.1/10,77/100,+ Rent or Buy,,Want To SeeSeen
7,,Freaky,,2020,18+,6.3/10,68/100,Rent or Buy,,Want To SeeSeen
8,,Revenge,,2017,18+,6.4/10,69/100,+ Rent or Buy,,Want To SeeSeen
9,,Fighting With My Family,,2019,13+,7.1/10,73/100,+ Rent or Buy,,Want To SeeSeen
10,,Split,,2016,13+,7.3/10,77/100,Rent or Buy,,Want To SeeSeen
11,,Green Book,,2018,13+,8.2/10,80/100,Rent or Buy,,Want To SeeSeen
12,,Angel Has Fallen,,2019,18+,6.4/10,73/100,+ Rent or Buy,,Want To SeeSeen
13,,Dolemite Is My Name,,2019,18+,7.3/10,89/100,,,Want To SeeSeen
14,,Article 15,,2019,18+,8.2/10,89/100,,,Want To SeeSeen
15,,Frozen,,2013,7+,7.4/10,80/100,+ Rent or Buy,,Want To SeeSeen
16,,Divergent,,2014,13+,6.6/10,77/100,+ Rent or Buy,,Want To SeeSeen
17,,Fifty Shades of Grey,,2015,18+,4.1/10,65/100,+ Rent or Buy,,Want To SeeSeen
18,,Bombshell,,2019,18+,6.8/10,74/100,+ Rent or Buy,,Want To SeeSeen
19,,Zootopia,,2016,7+,8.0/10,82/100,+ Rent or Buy,,Want To SeeSeen
20,,Just Say Yes,,2021,N/A,4.5/10,54/100,,,Want To SeeSeen
21,,Mortal Engines,,2018,13+,6.1/10,69/100,+ Rent or Buy,,Want To SeeSeen
22,,Crimson Peak,,2015,18+,6.5/10,73/100,+ Rent or Buy,,Want To SeeSeen
23,,It Follows,,2015,18+,6.8/10,75/100,+ Rent or Buy,,Want To SeeSeen
24,,Annabelle: Creation,,2017,18+,6.5/10,73/100,+ Rent or Buy,,Want To SeeSeen
25,,Solo: A Star Wars Story,,2018,13+,6.9/10,77/100,+ Rent or Buy,,Want To SeeSeen
26,,Paper Lives,,2021,N/A,6.7/10,62/100,,,Want To SeeSeen
