Title,Unnamed: 3,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,Unnamed: 9
The Leftovers,TV,2014,18+,8.3/10,86/100,+ Rent or Buy,No Free Episodes
Marvel's Agents of S.H.I.E.L.D.,TV,2013,16+,7.5/10,86/100,+ Rent or Buy,No Free Episodes
The Marvelous Mrs. Maisel,TV,2017,18+,8.7/10,86/100,,No Free Episodes
Orphan Black,TV,2013,18+,8.3/10,86/100,+ Rent or Buy,No Free Episodes
The Bad Batch,TV,2021,7+,8.7/10,86/100,,No Free Episodes
Boardwalk Empire,TV,2010,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes
Curb Your Enthusiasm,TV,2000,18+,8.7/10,86/100,+ Rent or Buy,No Free Episodes
American Crime Story,TV,2016,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes
Broadchurch,TV,2013,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes
Killing Eve,TV,2018,16+,8.2/10,86/100,+ Rent or Buy,No Free Episodes
The Last Kingdom,TV,2015,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes
Schitt's Creek,TV,2015,16+,8.5/10,86/100,+ Rent or Buy,81 Free Episodes
Star Trek: The Next Generation,TV,1987,7+,8.6/10,86/100,+ Rent or Buy,No Free Episodes
Rome,TV,2005,18+,8.7/10,86/100,+ Rent or Buy,No Free Episodes
Penny Dreadful,TV,2014,18+,8.2/10,86/100,+ Rent or Buy,No Free Episodes
White Collar,TV,2009,7+,8.2/10,85/100,+ Rent or Buy,No Free Episodes
What We Do in the Shadows,TV,2019,18+,8.5/10,85/100,+ Rent or Buy,No Free Episodes
The End of the F***ing World,TV,2017,18+,8.1/10,85/100,+ Rent or Buy,No Free Episodes
30 Rock,TV,2006,16+,8.2/10,85/100,+ Rent or Buy,132 Free Episodes
Psych,TV,2006,7+,8.3/10,85/100,+ Rent or Buy,120 Free Episodes
Batman: The Animated Series,TV,1992,7+,9.0/10,85/100,+ Rent or Buy,No Free Episodes
Planet Earth II,TV,2016,all,9.5/10,85/100,+ Rent or Buy,No Free Episodes
One Piece,TV,1999,7+,8.8/10,85/100,+ Rent or Buy,783 Free Episodes
24,TV,2001,16+,8.3/10,85/100,+ Rent or Buy,191 Free Episodes
The Twilight Zone,TV,1959,7+,9.0/10,85/100,+ Rent or Buy,No Free Episodes
Succession,TV,2018,18+,8.6/10,85/100,+ Rent or Buy,No Free Episodes
The Fall,TV,2013,18+,8.1/10,85/100,+ Rent or Buy,19 Free Episodes
Star Wars: The Clone Wars,TV,2008,7+,8.3/10,85/100,+ Rent or Buy,No Free Episodes
Teen Wolf,TV,2011,16+,7.6/10,85/100,+ Rent or Buy,No Free Episodes
Banshee,TV,2013,18+,8.4/10,85/100,+ Rent or Buy,No Free Episodes
Six Feet Under,TV,2001,18+,8.7/10,85/100,+ Rent or Buy,No Free Episodes
New Girl,TV,2011,16+,7.7/10,85/100,+ Rent or Buy,No Free Episodes
Unbelievable,TV,2019,18+,8.4/10,85/100,,No Free Episodes
Bob's Burgers,TV,2011,16+,8.1/10,85/100,+ Rent or Buy,7 Free Episodes
