,,Title,,Year,Rating,,,Available On,,
36,,Doctor Who,TV,2005,7+,8.6/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,Castle,TV,2009,16+,8.1/10,83/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,The X-Files,TV,1993,18+,8.6/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,Ozark,TV,2017,18+,8.4/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,Prodigal Son,TV,2019,16+,7.7/10,80/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Broadchurch,TV,2013,18+,8.4/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Attack on Titan,TV,2013,18+,9.0/10,95/100,+ Rent or Buy,61 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Jurassic World: Camp Cretaceous,TV,2020,7+,7.5/10,69/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,Community,TV,2009,7+,8.5/10,90/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,The Girlfriend Experience,TV,2016,18+,7.1/10,75/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,Younger,TV,2015,16+,7.8/10,81/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Manifest,TV,2018,16+,7.2/10,76/100,+ Rent or Buy,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,The Expanse,TV,2015,16+,8.5/10,89/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Lupin,TV,2021,N/A,7.6/10,75/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Jujutsu Kaisen,TV,2020,16+,8.8/10,78/100,,16 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,The Chi,TV,2018,18+,7.4/10,64/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
