,,Title,,Year,Rating,,,Available On,,
46,,The Simpsons,TV,1989,7+,8.6/10,92/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Jurassic World: Camp Cretaceous,TV,2020,7+,7.4/10,69/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,The Americans,TV,2013,18+,8.4/10,87/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Reno 911!,TV,2003,16+,7.9/10,76/100,+Rent or Buy,79Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Twin Peaks,TV,1990,18+,8.8/10,89/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Midsomer Murders,TV,1997,7+,7.7/10,73/100,+Rent or Buy,123Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,The Innocent,TV,2021,N/A,8.0/10,75/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,Criminal Minds,TV,2005,16+,8.0/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,The X-Files,TV,1993,18+,8.6/10,87/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Sesame Street,TV,1969,all,8.1/10,74/100,+Rent or Buy,8Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,New Girl,TV,2011,16+,7.7/10,85/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,The West Wing,TV,1999,16+,8.8/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Outlander,TV,2014,18+,8.4/10,89/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,American Gods,TV,2017,18+,7.8/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,Trying,TV,2020,16+,7.5/10,68/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,Call the Midwife,TV,2012,16+,8.4/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,The Mandalorian,TV,2019,7+,8.8/10,93/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
